Año,Mes,Region,Regimen,Sector,Valor,% Variacion interanual
2019,04,Cataluña,Régimen general y minería del carbón,Construcción,"140,4","6,6"
2019,04,Cataluña,Régimen general y minería del carbón,Servicios,"2.198,4","3,4"
2019,04,Cataluña,Régimen general y minería del carbón,No clasificables,"1,5",..
2019,03,Cataluña,Régimen general y minería del carbón,Total,"2.777,2","3,1"
2019,03,Cataluña,Régimen general y minería del carbón,Agricultura,"9,5","4,3"
2019,03,Cataluña,Régimen general y minería del carbón,Industria,"443,8","2,3"
2019,03,Cataluña,Régimen general y minería del carbón,Construcción,"140,9","7,9"
2019,03,Cataluña,Régimen general y minería del carbón,Servicios,"2.182,1","3,0"
2019,03,Cataluña,Régimen general y minería del carbón,No clasificables,"1,0",..
2019,02,Cataluña,Régimen general y minería del carbón,Total,"2.745,3","3,5"
2019,02,Cataluña,Régimen general y minería del carbón,Agricultura,"9,3","3,7"
2019,02,Cataluña,Régimen general y minería del carbón,Industria,"441,0","2,0"
2019,02,Cataluña,Régimen general y minería del carbón,Construcción,"139,4","8,0"
2019,02,Cataluña,Régimen general y minería del carbón,Servicios,"2.154,6","3,6"
2019,02,Cataluña,Régimen general y minería del carbón,No clasificables,"1,0",..
2019,01,Cataluña,Régimen general y minería del carbón,Total,"2.718,1","3,5"
2019,01,Cataluña,Régimen general y minería del carbón,Agricultura,"9,1","2,8"
2019,01,Cataluña,Régimen general y minería del carbón,Industria,"439,2","2,3"
2019,01,Cataluña,Régimen general y minería del carbón,Construcción,"137,3","7,7"
2019,01,Cataluña,Régimen general y minería del carbón,Servicios,"2.131,5","3,5"
2019,01,Cataluña,Régimen general y minería del carbón,No clasificables,"1,0",..
2018,12,Cataluña,Régimen general y minería del carbón,Total,"2.729,1","3,6"
2018,12,Cataluña,Régimen general y minería del carbón,Agricultura,"9,1","2,7"
2018,12,Cataluña,Régimen general y minería del carbón,Industria,"438,2","2,5"
2018,12,Cataluña,Régimen general y minería del carbón,Construcción,"133,0","7,6"
2018,12,Cataluña,Régimen general y minería del carbón,Servicios,"2.147,7","3,7"
2018,12,Cataluña,Régimen general y minería del carbón,No clasificables,"1,0",..
2018,11,Cataluña,Régimen general y minería del carbón,Total,"2.737,6","3,3"
2018,11,Cataluña,Régimen general y minería del carbón,Agricultura,"9,2","2,3"
2018,11,Cataluña,Régimen general y minería del carbón,Industria,"440,7","2,3"
2018,11,Cataluña,Régimen general y minería del carbón,Construcción,"137,3","7,6"
2018,11,Cataluña,Régimen general y minería del carbón,Servicios,"2.149,4","3,3"
2018,11,Cataluña,Régimen general y minería del carbón,No clasificables,"1,1",..
2018,10,Cataluña,Régimen general y minería del carbón,Total,"2.727,7","3,5"
2018,10,Cataluña,Régimen general y minería del carbón,Agricultura,"9,2","3,3"
2018,10,Cataluña,Régimen general y minería del carbón,Industria,"439,2","2,4"
2018,10,Cataluña,Régimen general y minería del carbón,Construcción,"135,6","7,5"
2018,10,Cataluña,Régimen general y minería del carbón,Servicios,"2.142,6","3,4"
2018,10,Cataluña,Régimen general y minería del carbón,No clasificables,"1,1",..
2018,09,Cataluña,Régimen general y minería del carbón,Total,"2.745,9","3,2"
2018,09,Cataluña,Régimen general y minería del carbón,Agricultura,"9,4","3,6"
2018,09,Cataluña,Régimen general y minería del carbón,Industria,"441,3","3,0"
2018,09,Cataluña,Régimen general y minería del carbón,Construcción,"133,2","6,8"
2018,09,Cataluña,Régimen general y minería del carbón,Servicios,"2.161,0","3,0"
2018,09,Cataluña,Régimen general y minería del carbón,No clasificables,"1,1",..
2018,08,Cataluña,Régimen general y minería del carbón,Total,"2.677,3","2,8"
2018,08,Cataluña,Régimen general y minería del carbón,Agricultura,"9,4","1,8"
2018,08,Cataluña,Régimen general y minería del carbón,Industria,"437,1","2,6"
2018,08,Cataluña,Régimen general y minería del carbón,Construcción,"128,9","6,3"
2018,08,Cataluña,Régimen general y minería del carbón,Servicios,"2.100,8","2,7"
2018,08,Cataluña,Régimen general y minería del carbón,No clasificables,"1,1",..
2018,07,Cataluña,Régimen general y minería del carbón,Total,"2.729,0","3,4"
2018,07,Cataluña,Régimen general y minería del carbón,Agricultura,"9,5","2,4"
2018,07,Cataluña,Régimen general y minería del carbón,Industria,"440,9","2,8"
2018,07,Cataluña,Régimen general y minería del carbón,Construcción,"133,6","6,9"
2018,07,Cataluña,Régimen general y minería del carbón,Servicios,"2.143,8","3,3"
2018,07,Cataluña,Régimen general y minería del carbón,No clasificables,"1,1",..
2018,06,Cataluña,Régimen general y minería del carbón,Total,"2.767,3","4,6"
2018,06,Cataluña,Régimen general y minería del carbón,Agricultura,"9,6","1,9"
2018,06,Cataluña,Régimen general y minería del carbón,Industria,"442,1","3,6"
2018,06,Cataluña,Régimen general y minería del carbón,Construcción,"135,4","8,1"
2018,06,Cataluña,Régimen general y minería del carbón,Servicios,"2.179,0","4,7"
2018,06,Cataluña,Régimen general y minería del carbón,No clasificables,"1,1",..
2018,05,Cataluña,Régimen general y minería del carbón,Total,"2.732,9","3,9"
2018,05,Cataluña,Régimen general y minería del carbón,Agricultura,"9,5","0,9"
2018,05,Cataluña,Régimen general y minería del carbón,Industria,"437,1","3,1"
2018,05,Cataluña,Régimen general y minería del carbón,Construcción,"133,5","7,4"
2018,05,Cataluña,Régimen general y minería del carbón,Servicios,"2.151,7","3,9"
2018,05,Cataluña,Régimen general y minería del carbón,No clasificables,"1,2",..
2018,04,Cataluña,Régimen general y minería del carbón,Total,"2.702,4","3,3"
2018,04,Cataluña,Régimen general y minería del carbón,Agricultura,"9,2","1,2"
